[200, 50, array([ 2.]), 3.1]:: Return=0.0656, terminal=False
[200, 50, 1.8, 3.1]:: Return=-0.1359, terminal=False
[200, 50, 1.2, 3.1]:: Return=0.0, terminal=False
[200, 50, 1.3999999999999999, 3.1]:: Return=0.0, terminal=False
[200, 50, 2.6000000000000001, 3.1]:: Return=1.0337, terminal=False
[200, 50, 0.90000000000000002, 3.1]:: Return=0.0996, terminal=False
[200, 50, 2.0, 3.1]:: Return=0.0, terminal=False
[200, 50, 1.6000000000000001, 3.1]:: Return=-0.027, terminal=False
[200, 50, 2.3999999999999999, 3.1]:: Return=0.0, terminal=False
[200, 50, 0.69999999999999996, 3.1]:: Return=0.0826, terminal=False
[200, 50, 1.0, 3.1]:: Return=0.0, terminal=False
[200, 50, 0.80000000000000004, 3.1]:: Return=0.851, terminal=False
[200, 50, 2.6000000000000001, 3.1]:: Return=1.4643, terminal=False
[200, 50, 2.6000000000000001, 3.1]:: Return=0.6805, terminal=False
[200, 50, 0.90000000000000002, 3.1]:: Return=0.4619, terminal=False
[200, 50, 1.8999999999999999, 3.1]:: Return=0.4061, terminal=False
[200, 50, 0.69999999999999996, 3.1]:: Return=0.5691, terminal=False
[200, 50, 2.7999999999999998, 3.1]:: Return=-0.6155, terminal=False
[200, 50, 0.69999999999999996, 3.1]:: Return=0.056, terminal=False
[200, 50, 2.6000000000000001, 3.1]:: Return=-0.0161, terminal=False
[200, 50, 1.3, 3.1]:: Return=-0.189, terminal=False
[200, 50, 2.2999999999999998, 3.1]:: Return=0.0302, terminal=False
[200, 50, 2.8999999999999999, 3.1]:: Return=-0.1168, terminal=False
[200, 50, 1.1000000000000001, 3.1]:: Return=0.044, terminal=False
[200, 50, 1.8, 3.1]:: Return=0.9999, terminal=False
[200, 50, 1.3999999999999999, 3.1]:: Return=-0.2602, terminal=False
[200, 50, 2.2999999999999998, 3.1]:: Return=0.1181, terminal=False
[200, 50, 2.0, 3.1]:: Return=-0.3172, terminal=False
