"","EW","TW","EZ","SZ"
"1",210,66,0.9,5
"2",210,66,0.9,5
"3",210,66,0.9,5
"4",210,66,0.9,4.5
"5",210,66,0.9,4.6
"6",210,66,0.9,5
"7",210,66,0.9,4.5
"8",210,66,0.9,5
"9",210,66,0.9,4.5
"10",210,66,0.9,4.5
"11",210,66,0.9,4.5
"12",209,66,0.9,5
"13",210,66,0.9,4.5
"14",210,66,0.9,5
"15",210,66,0.9,4.4
"16",210,66,0.9,5
"17",210,66,0.9,5
"18",210,66,0.9,4.9
"19",210,66,0.9,4.5
"20",210,66,0.9,5
"21",210,66,0.9,5
"22",210,66,0.9,4.9
"23",210,66,0.9,5
"24",210,66,0.9,4.5
"25",210,66,0.9,5
"26",210,66,0.9,4.5
"27",210,66,0.9,4.6
"28",210,66,0.9,4.4
"29",210,66,0.9,5
"30",210,68,0.9,5
"31",210,66,0.9,4.5
"32",210,66,0.9,5
"33",210,66,0.8,5
"34",210,66,0.9,5
"35",210,66,0.9,4.9
"36",210,66,0.9,5
"37",210,66,0.9,5
"38",210,66,0.9,4.5
"39",209,66,0.9,5
"40",209,66,0.9,4.5
"41",210,66,0.8,5
"42",210,66,0.9,5
"43",210,64,0.9,4.5
"44",210,68,0.9,5
"45",210,66,0.9,5
"46",210,66,0.8,5
"47",209,66,0.8,4.5
"48",210,67,0.9,5
"49",210,64,0.9,4.5
"50",210,64,0.9,4.5
