"","EW","TW","EZ","SZ","NA"
"1",176,109,2.2,3.2,0.0546
"2",176,109,2.2,3.2,0.0546
"3",176,147,2.2,3.2,0.0546
"4",176,109,2.2,4.5,0.0546
"5",176,109,2.2,3.2,0.0546
"6",176,98,2.2,3.2,0.0546
"7",176,139,2.2,3.2,0.0546
"8",176,109,2.2,3.5,0.0546
"9",176,147,2.2,4.5,0.0546
"10",176,136,2.2,3.5,0.0546
"11",176,109,2.2,3.1,0.0546
"12",177,142,2.2,3.2,0.0549
"13",177,143,2.2,3.2,0.0549
"14",174,144,2.3,3.2,0.027
"15",176,142,2.2,3.2,0.0546
"16",174,110,2.2,3.2,0.0455
"17",176,139,2.3,3.5,0.0546
"18",176,98,2.2,3.2,0.0546
"19",174,109,2.2,3.2,0.0455
"20",176,145,2.2,3.2,0.0546
"21",176,109,2.2,3.2,0.0546
"22",176,140,2.2,3.5,0.0546
"23",176,109,2.2,3.5,0.0546
"24",179,148,2.2,3.5,0.0507
"25",176,109,2.2,3.2,0.0546
"26",176,142,2.3,3.2,0.0546
"27",176,107,2.2,3.2,0.0546
"28",176,109,2.3,3.2,0.0546
"29",176,109,2.2,3.2,0.0546
"30",177,142,2.2,3.2,0.0549
