"From","To","EW","TW","EZ","SZ","MD","SR","AR"
"1","2005-06-01","2014-06-01",195.4249,147.5854,0.798716,3.476434,0.05024756,0.119982,0.0571181
"2","2005-06-01","2013-06-01",195.7502,149.9998,0.8405723,3.375831,0.0448879,0.1373,0.0659
"3","2005-06-01","2012-06-01",195.7086,144.0334,0.8182737,3.408793,0.0448879,0.1435,0.0723
"4","2005-06-01","2011-06-01",191.252,144.23857,0.8573447,3.448733,0.04489271,0.1504,0.0781
"5","2005-06-01","2010-06-01",187.0636,147.1767,0.769708,3.252033,0.04489589,0.1625,0.0884
"6","2005-06-01","2009-06-01",178.4247,81.22698,0.8740661,3.261936,0.05587983,0.1179333,0.0739
"7","2005-06-01","2008-06-01",177.2613,140.9673,0.9078574,3.739874,0.0461,0.1326,0.0709
"8","2005-06-01","2007-06-01",191.4803,58.86817,0.906257,4.623432,0.02164193,0.1865,0.0698
"9","2006-06-01","2014-06-01",186.9377,149.77497,0.6985759,3.304319,0.04958991,0.1024901,0.0491
"10","2006-06-01","2013-06-01",192.6667,141.4396,0.8776172,3.302867,0.04489127,0.1180443,0.05492233
"11","2006-06-01","2012-06-01",208.3801,84.09578,1.257486,3.343237,0.045025,0.1195,0.05673437
"12","2006-06-01","2011-06-01",187.0514,145.41145,0.8289542,3.107649,0.04489589,0.1344307,0.0711
"13","2006-06-01","2010-06-01",186.4752,144.8022,0.8707127,3.106041,0.04489606,0.1360,0.07422788
"14","2006-06-01","2009-06-01",154.0909,57.14363,1.15063,3.390205,0.04132041,0.1031,0.0546
"15","2006-06-01","2008-06-01",179.048,90.96881,1.695673,3.510416,0.02176994,0.1113,0.0349
"16","2007-06-01","2014-06-01",188.2774,137.9387,0.6751581,3.337056,0.0497395,0.1059,0.0498
"17","2007-06-01","2013-06-01",201.1357,82.73705,0.8050831,3.272391,0.04487787,0.1285,0.0597
"18","2007-06-01","2012-06-01",188.5138,144.6604,0.8294335,3.419346,0.04489548,0.1335,0.0661
"19","2007-06-01","2011-06-01",188.7031,83.75356,0.7688531,3.301034,0.04489444,0.1427,0.0738
"20","2007-06-01","2010-06-01",187.5282,82.64729,0.7816881,3.280205,0.04489548,0.1606,0.0875
"21","2007-06-01","2009-06-01",205.4081,50.06585,0.7812288,3.47415,0.02800374,0.1206,0.0623
"22","2008-06-01","2014-06-01",189.9656,134.5777,0.669921,4.933817,0.05006246,0.0975,0.0408
"23","2008-06-01","2013-06-01",187.7221,126.1247,0.7230516,4.654715,0.0388256,0.1386708,0.05705368
"24","2008-06-01","2012-06-01",197.8318,79.84055,1.48093,4.437014,0.02154314,0.1668398,0.0520
"25","2008-06-01","2011-06-01",182.9757,103.68178,0.7290774,4.647913,0.03882425,0.1435,0.0632
"26","2008-06-01","2010-06-01",172.8402,52.11309,1.31751,4.699498,0.02178218,0.2005639,0.06581654
"27","2009-06-01","2014-06-01",183.6628,114.844,0.7301534,4.739749,0.04638766,0.0969,0.0366
"28","2009-06-01","2013-06-01",208.2404,109.7334,0.6210253,4.330915,0.02435428,0.1303159,0.0441
"29","2009-06-01","2012-06-01",184.862,115.6709,0.7216098,3.846931,0.02463133,0.1509,0.0544
"30","2009-06-01","2011-06-01",174.7755,84.50048,0.5091475,3.805454,0.02511482,0.1352,0.0476
"31","2010-06-01","2014-06-01",242.1674,97.64156,2.489616,3.415328,0.01853716,0.1144148,0.02319066
"32","2010-06-01","2013-06-01",198.4828,117.3491,0.6470755,3.910717,0.02396497,0.1371498,0.0412
"33","2010-06-01","2012-06-01",201.8671,81.11518,0.6227891,3.415244,0.01822971,0.1444,0.0405
"34","2011-06-01","2014-06-01",243.1574,121.3947,2.601053,4.542748,0.01472491,0.1197401,0.02278542
"35","2011-06-01","2013-06-01",156.375,108.57702,1.447854,4.81689,0.0292674,0.1286,0.0273
"36","2012-06-01","2014-06-01",182.3687,125.1163,2.350463,4.852938,0.0155551,0.1135,0.020105
