2005,2014
          [,1]     [,2]     [,3]     [,4]
 [1,] 195.4249 147.5854 0.798716 3.476434
 [2,] 195.4249 147.5854 0.798716 3.476434
 [3,] 195.4249 138.8479 0.798716 3.403359
 [4,] 195.4249 144.6729 0.798716 3.476434
 [5,] 191.6874 122.8119 0.798716 3.549509
 [6,] 195.4249 138.8479 0.798716 3.476434
 [7,] 191.6874 147.5854 0.798716 3.476434
 [8,] 195.4249 147.5854 0.798716 3.476434
 [9,] 195.4249 135.9354 0.798716 3.403359
[10,] 195.4249 138.8479 0.798716 3.403359
[11,] 195.4249 138.8479 0.798716 3.330284
[12,] 195.4249 135.9354 0.798716 3.403359

2005,2013
          [,1]      [,2]      [,3]     [,4]
 [1,] 195.7502 149.99980 0.8405723 3.375831
 [2,] 195.7502 149.99980 0.8405723 3.375831
 [3,] 192.0127 149.99980 0.9071973 3.375831
 [4,] 195.7502 147.08730 0.7739473 3.375831
 [5,] 195.7502  83.41886 0.8405723 3.375831
 [6,] 192.0127 149.99980 0.9071973 3.521981
 [7,] 199.4877 149.99980 0.8405723 3.375831
 [8,] 195.7502 147.08730 0.8405723 3.375831
 [9,] 192.0127 122.81187 0.8405723 3.448906
[10,] 195.7502 149.99980 0.8405723 3.375831
[11,] 192.0127 149.99980 0.8405723 3.375831
[12,] 195.7502 149.99980 0.8405723 3.375831

2005,2012
          [,1]     [,2]      [,3]     [,4]
 [1,] 195.7086 144.0334 0.8182737 3.408793
 [2,] 195.7086 144.0334 0.8182737 3.408793
 [3,] 191.9711 146.9459 0.8182737 3.408793
 [4,] 195.7086 141.1209 0.8182737 3.372384
 [5,] 195.7086 135.2959 0.7516487 3.481868
 [6,] 195.7086 144.0334 0.8182737 3.372384
 [7,] 195.7086 144.0334 0.8848987 3.408793
 [8,] 195.7086 144.0334 0.8182737 3.481868
 [9,] 195.7086 141.1209 0.8182737 3.481868
[10,] 195.7086 144.0334 0.8182737 3.408793
[11,] 195.7086 138.2084 0.8182737 3.372384
[12,] 191.9711 144.0334 0.7516487 3.372384

2005,2011
          [,1]      [,2]      [,3]     [,4]
 [1,] 191.2520 144.23857 0.8573447 3.448733
 [2,] 191.2520 144.23857 0.8573447 3.448733
 [3,] 191.2520 144.23857 0.7907197 3.448733
 [4,] 187.5145  61.51881 0.8573447 3.448733
 [5,] 191.2520 144.23857 0.8573447 3.375658
 [6,] 191.2520 144.23857 0.8573447 3.448733
 [7,] 194.9895 144.23857 0.8573447 3.521808
 [8,] 191.2520 144.23857 0.8573447 3.448733
 [9,] 191.2520 144.23857 0.8573447 3.448733
[10,] 191.2520 144.23857 0.8573447 3.448733
[11,] 194.9895 144.23857 0.9239697 3.448733
[12,] 191.2520 144.23857 0.9239697 3.229508

2005,2010
          [,1]     [,2]     [,3]     [,4]
 [1,] 187.0636 147.1767 0.769708 3.252033
 [2,] 187.0636 147.1767 0.769708 3.252033
 [3,] 183.3261 138.4392 0.769708 3.252033
 [4,] 183.3261 113.1663 0.703083 3.252033
 [5,] 183.3261 138.4392 0.769708 3.252033
 [6,] 183.3261 147.1767 0.703083 3.252033
 [7,] 187.0636 147.1767 0.769708 3.252033
 [8,] 187.0636 144.2642 0.769708 3.252033
 [9,] 187.0636 138.4392 0.836333 3.252033
[10,] 187.0636 135.5267 0.769708 3.252033
[11,] 187.0636 144.2642 0.769708 3.539690
[12,] 183.3261 138.4392 0.769708 3.252033

2005,2009
          [,1]     [,2]      [,3]     [,4]
 [1,] 178.4247 81.22698 0.8740661 3.261936
 [2,] 178.4247 81.22698 0.8740661 3.261936
 [3,] 178.4247 72.48948 0.8740661 3.261936
 [4,] 178.4247 78.31448 0.8074411 3.261936
 [5,] 178.4247 84.13948 0.8740661 3.261936
 [6,] 178.4247 72.48948 0.8740661 3.408086
 [7,] 178.4247 81.22698 0.8074411 3.261936
 [8,] 174.6872 72.48948 0.8740661 3.261936
 [9,] 178.4247 81.22698 0.8740661 3.261936
[10,] 178.4247 81.22698 0.8740661 3.335011
[11,] 178.4247 75.40198 0.9406911 3.115786
[12,] 178.4247 81.22698 0.8074411 3.408086

2005,2008
          [,1]     [,2]      [,3]     [,4]
 [1,] 177.2613 140.9673 0.9078574 3.739874
 [2,] 177.2613 140.9673 0.9078574 3.739874
 [3,] 177.2613 138.0548 0.9078574 3.739874
 [4,] 173.5238 140.9673 0.9078574 3.739874
 [5,] 173.5238 140.9673 0.9078574 3.739874
 [6,] 173.5238 140.9673 0.9078574 3.739874
 [7,] 180.9988 140.9673 0.9078574 3.666799
 [8,] 177.2613 140.9673 0.9744824 3.739874
 [9,] 177.2613 140.9673 0.9078574 3.739874
[10,] 180.9988 143.8798 0.9078574 3.739874
[11,] 177.2613 140.9673 0.9078574 3.739874
[12,] 177.2613 140.9673 0.9744824 3.739874

2005,2007
          [,1]     [,2]     [,3]     [,4]
 [1,] 191.4803 58.86817 0.906257 4.623432
 [2,] 191.4803 58.86817 0.906257 4.258057
 [3,] 191.4803 58.86817 0.906257 4.184982
 [4,] 191.4803 58.86817 0.906257 4.258057
 [5,] 191.4803 58.86817 0.972882 4.258057
 [6,] 191.4803 58.86817 0.972882 4.184982
 [7,] 191.4803 58.86817 0.906257 4.623432
 [8,] 191.4803 58.86817 0.906257 4.331132
